pair_id,status,lat,lon,confidence,clip_score,visual_change_score,pixel_x,pixel_y,z,block_x,block_y,old_image,new_image
0062,new_building,40.21027581,29.13086706,0.6625,0.9396,59.7569,115.21,16.46,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20856964,29.13285286,0.6048,0.9928,62.1137,485.39,432.93,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20954389,29.13135629,0.5836,0.9866,65.4165,206.41,195.12,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20995238,29.1317458,0.5739,0.9959,66.2557,279.02,95.41,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20826823,29.1329661,0.4822,0.9969,63.5708,506.5,506.5,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20938133,29.13101426,0.4307,0.9874,68.3496,142.65,234.8,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20952799,29.1311716,0.4271,0.9732,68.6465,171.98,199.0,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20997401,29.13137019,0.4263,0.9904,60.4932,209.0,90.13,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20993857,29.13160719,0.4246,0.9846,64.3192,253.18,98.78,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20982911,29.1316089,0.3769,0.9924,69.667,253.5,125.5,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0062,new_building,40.20952804,29.13117085,0.307,0.9732,68.6465,171.84,198.99,18,152284,99042,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0062.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0062.png
0063,new_building,40.20780632,29.1318215,0.6211,0.99,63.5431,293.13,107.25,18,152284,99044,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2021\gursu_2021_0063.png,C:\Users\birsav\Desktop\Gursu-yapi\dataset\2026\gursu_2026_0063.png
